Distance_r_A,g_r_CC
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,8.013048035398791583e-03
1.325000000000000178e+00,1.333263056330168839e+00
1.375000000000000000e+00,1.532136393126261176e+01
1.425000000000000266e+00,1.892939969636657338e+01
1.475000000000000089e+00,8.604731764399485172e+00
1.524999999999999911e+00,9.042005036081210534e+00
1.575000000000000178e+00,4.451251212026852144e+00
1.625000000000000000e+00,6.652597335506602594e-01
1.675000000000000266e+00,4.994084094944512692e-02
1.725000000000000089e+00,2.974549385832079770e-03
1.774999999999999911e+00,1.590186466365972422e-04
1.825000000000000178e+00,5.014155236724129514e-05
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,3.530246169441524491e-05
2.225000000000000089e+00,1.652949412408334390e-03
2.275000000000000355e+00,3.436452290565821660e-02
2.325000000000000178e+00,4.642169385041189367e-01
2.375000000000000000e+00,2.941823478374117062e+00
2.425000000000000266e+00,7.164819074910067087e+00
2.475000000000000089e+00,7.317898147410723197e+00
2.525000000000000355e+00,5.118268736288018594e+00
2.575000000000000178e+00,2.481632848301658534e+00
2.625000000000000000e+00,8.634638327704567962e-01
2.675000000000000266e+00,3.750522861664786767e-01
2.725000000000000089e+00,6.841924253255878829e-01
2.775000000000000355e+00,1.496504745446783025e+00
2.825000000000000178e+00,1.665606457084617187e+00
2.875000000000000000e+00,1.165354366252229656e+00
2.925000000000000266e+00,8.576148407902045578e-01
2.975000000000000089e+00,8.375584996749173561e-01
3.025000000000000355e+00,7.713538088833375994e-01
3.075000000000000178e+00,6.212337361122562962e-01
3.125000000000000000e+00,4.742299741670923385e-01
3.175000000000000266e+00,3.626616680625610045e-01
3.225000000000000089e+00,2.949026363733742717e-01
3.275000000000000355e+00,2.838491336554092026e-01
3.325000000000000178e+00,3.051346892313632764e-01
3.375000000000000000e+00,3.381802543179674991e-01
3.425000000000000266e+00,3.969412968500258820e-01
3.475000000000000089e+00,4.593685166647689666e-01
3.525000000000000355e+00,5.470827602766210607e-01
3.575000000000000178e+00,6.983716933967694107e-01
3.625000000000000000e+00,1.004573910468618880e+00
3.675000000000000266e+00,1.575811862144920639e+00
3.725000000000000089e+00,2.455930493096004863e+00
3.775000000000000355e+00,3.162294895692191243e+00
3.825000000000000178e+00,2.791725389255925283e+00
3.875000000000000000e+00,2.159099982553550845e+00
3.925000000000000266e+00,1.894799484497300623e+00
3.975000000000000089e+00,1.781393925220824626e+00
4.025000000000000355e+00,1.758212961175259270e+00
4.075000000000000178e+00,1.778972004331943246e+00
4.125000000000000000e+00,1.858682170523417554e+00
4.175000000000000711e+00,1.970532549857723303e+00
4.224999999999999645e+00,2.164924847771805272e+00
4.275000000000000355e+00,2.477659735406340324e+00
4.325000000000000178e+00,2.556131873557276890e+00
4.375000000000000000e+00,2.306027921532641578e+00
4.425000000000000711e+00,2.002996223485165928e+00
4.474999999999999645e+00,1.769072646921671987e+00
4.525000000000000355e+00,1.617898947811786892e+00
4.575000000000000178e+00,1.512027526602861771e+00
4.625000000000000000e+00,1.462359150321632439e+00
4.675000000000000711e+00,1.433614780601476069e+00
4.724999999999999645e+00,1.451614970714828701e+00
4.775000000000000355e+00,1.534031638608784887e+00
4.825000000000001066e+00,1.674996495197231150e+00
4.875000000000000000e+00,1.855968618121702773e+00
4.925000000000000711e+00,1.925518113387776564e+00
4.974999999999999645e+00,1.818940813503453491e+00
5.025000000000000355e+00,1.698967435409265647e+00
5.075000000000001066e+00,1.646604795770188367e+00
5.125000000000000000e+00,1.662719890448138615e+00
5.175000000000000711e+00,1.660409680648202713e+00
5.224999999999999645e+00,1.567905425434575895e+00
5.275000000000000355e+00,1.428190682730383854e+00
5.325000000000001066e+00,1.296755836264914530e+00
5.375000000000000000e+00,1.200728695736242635e+00
5.425000000000000711e+00,1.137432819851661892e+00
5.474999999999999645e+00,1.089570361656557296e+00
5.525000000000000355e+00,1.046906367095501000e+00
5.575000000000001066e+00,1.031328447951880500e+00
5.625000000000000000e+00,1.029669586366094514e+00
5.675000000000000711e+00,1.064228150685117891e+00
5.724999999999999645e+00,1.119067499550486122e+00
5.775000000000000355e+00,1.115176613461087207e+00
5.825000000000001066e+00,1.053549636259180966e+00
5.875000000000000000e+00,9.853392614553272422e-01
5.925000000000000711e+00,9.526144384235870621e-01
5.974999999999999645e+00,9.429500139258915059e-01
6.025000000000000355e+00,9.568400320966402584e-01
6.075000000000001066e+00,9.940667270383553022e-01
6.125000000000000000e+00,1.052511299936322198e+00
6.175000000000000711e+00,1.102125349554925249e+00
6.224999999999999645e+00,1.098722184434544280e+00
6.275000000000000355e+00,1.044162820249155299e+00
6.325000000000001066e+00,9.820424007809911426e-01
6.375000000000000000e+00,9.642902005798905662e-01
6.425000000000000711e+00,1.009558158078666112e+00
6.474999999999999645e+00,1.094995635199180084e+00
6.525000000000000355e+00,1.175877929092045582e+00
6.575000000000001066e+00,1.213960402780077441e+00
6.625000000000000000e+00,1.177791799247832838e+00
6.675000000000000711e+00,1.083255337372580174e+00
6.724999999999999645e+00,9.734323146510549529e-01
6.775000000000000355e+00,8.746638628690445172e-01
6.825000000000001066e+00,8.130750091431188098e-01
6.875000000000000000e+00,7.741735418709543293e-01
6.925000000000000711e+00,7.595241973278078484e-01
6.974999999999999645e+00,7.477643271365430611e-01
7.025000000000000355e+00,7.536413582978923609e-01
7.075000000000001066e+00,7.835800666119916436e-01
7.125000000000000000e+00,8.122551154648357530e-01
7.175000000000000711e+00,8.407517546594430735e-01
7.224999999999999645e+00,8.717181034708495480e-01
7.275000000000000355e+00,9.151987413606474941e-01
7.325000000000001066e+00,9.676364377275995521e-01
7.375000000000000000e+00,1.006542831287591477e+00
7.425000000000000711e+00,1.020477061817295139e+00
