Distance_r_A,g_r_CN
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,4.190873793610513150e-04
1.125000000000000000e+00,8.881608108947919300e-01
1.175000000000000266e+00,8.074106906148882601e+00
1.225000000000000089e+00,4.269816171396279003e-01
1.274999999999999911e+00,5.958420334014487806e-04
1.325000000000000178e+00,9.930983381911362776e-03
1.375000000000000000e+00,9.139889817907002056e-01
1.425000000000000266e+00,1.250274484856861967e+01
1.475000000000000089e+00,2.158568864937679166e+01
1.524999999999999911e+00,6.339083488715534287e+00
1.575000000000000178e+00,5.970323663525294311e-01
1.625000000000000000e+00,2.714416557086637635e-02
1.675000000000000266e+00,1.380962467255217058e-03
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,1.023771389138042190e-04
2.225000000000000089e+00,2.934828548561737270e-03
2.275000000000000355e+00,2.489088541730023751e-02
2.325000000000000178e+00,1.874292108689464276e-01
2.375000000000000000e+00,8.974157433254383864e-01
2.425000000000000266e+00,2.362644052355626911e+00
2.475000000000000089e+00,3.621067182051540101e+00
2.525000000000000355e+00,3.650525631724832909e+00
2.575000000000000178e+00,3.159683046945866547e+00
2.625000000000000000e+00,1.796415333740205789e+00
2.675000000000000266e+00,4.816259488640896591e-01
2.725000000000000089e+00,1.046799567312454715e-01
2.775000000000000355e+00,2.257823477262004344e-02
2.825000000000000178e+00,6.918141776646452926e-03
2.875000000000000000e+00,7.499905349575709812e-03
2.925000000000000266e+00,1.222710160849836691e-02
2.975000000000000089e+00,2.123143245548835337e-02
3.025000000000000355e+00,4.350534034345440032e-02
3.075000000000000178e+00,7.042615348688299748e-02
3.125000000000000000e+00,1.131219161270022450e-01
3.175000000000000266e+00,1.763194067511688889e-01
3.225000000000000089e+00,2.579715646289139075e-01
3.275000000000000355e+00,3.715293992308530413e-01
3.325000000000000178e+00,5.177486132115792783e-01
3.375000000000000000e+00,7.273998349747762271e-01
3.425000000000000266e+00,9.669952391859191199e-01
3.475000000000000089e+00,1.190272839263407434e+00
3.525000000000000355e+00,1.237894866785847148e+00
3.575000000000000178e+00,1.112565195946835006e+00
3.625000000000000000e+00,9.529796451219247899e-01
3.675000000000000266e+00,8.730764619550283046e-01
3.725000000000000089e+00,8.998121846415338965e-01
3.775000000000000355e+00,1.019822642589054418e+00
3.825000000000000178e+00,1.121043683509636901e+00
3.875000000000000000e+00,1.120102767026977864e+00
3.925000000000000266e+00,1.001302408614277883e+00
3.975000000000000089e+00,9.174818690455336379e-01
4.025000000000000355e+00,8.848740367802973017e-01
4.075000000000000178e+00,8.793042991930020147e-01
4.125000000000000000e+00,8.854695199149439366e-01
4.175000000000000711e+00,9.149005830913152781e-01
4.224999999999999645e+00,9.365127810402663622e-01
4.275000000000000355e+00,9.500589353198479747e-01
4.325000000000000178e+00,1.003898703382727797e+00
4.375000000000000000e+00,1.046161892874373667e+00
4.425000000000000711e+00,1.087407089373356950e+00
4.474999999999999645e+00,1.115167162037001169e+00
4.525000000000000355e+00,1.156082655354374378e+00
4.575000000000000178e+00,1.177390583442112559e+00
4.625000000000000000e+00,1.208764477143816629e+00
4.675000000000000711e+00,1.236096457705770257e+00
4.724999999999999645e+00,1.286932095554967903e+00
4.775000000000000355e+00,1.355854888112817180e+00
4.825000000000001066e+00,1.413941255329315139e+00
4.875000000000000000e+00,1.458958142428706362e+00
4.925000000000000711e+00,1.434496673439810799e+00
4.974999999999999645e+00,1.378804314552672938e+00
5.025000000000000355e+00,1.248409250432984230e+00
5.075000000000001066e+00,1.095594175409489335e+00
5.125000000000000000e+00,9.626000315649323458e-01
5.175000000000000711e+00,8.944837924399922091e-01
5.224999999999999645e+00,8.573117135968375546e-01
5.275000000000000355e+00,8.270034410570140659e-01
5.325000000000001066e+00,8.191291961010831457e-01
5.375000000000000000e+00,8.184105979114357776e-01
5.425000000000000711e+00,8.145513187187126691e-01
5.474999999999999645e+00,8.124569440870424986e-01
5.525000000000000355e+00,8.130493715775612973e-01
5.575000000000001066e+00,8.102799845322921080e-01
5.625000000000000000e+00,8.197712804669086140e-01
5.675000000000000711e+00,8.362174858960261803e-01
5.724999999999999645e+00,8.476370981952086048e-01
5.775000000000000355e+00,8.583778318240794514e-01
5.825000000000001066e+00,8.575502453806499448e-01
5.875000000000000000e+00,8.408829624567761840e-01
5.925000000000000711e+00,8.118099477360906091e-01
5.974999999999999645e+00,7.720437445906804808e-01
6.025000000000000355e+00,7.373493458932735001e-01
6.075000000000001066e+00,7.257867713492989203e-01
6.125000000000000000e+00,7.395850898240146076e-01
6.175000000000000711e+00,7.545451093380148855e-01
6.224999999999999645e+00,7.495839816255951416e-01
6.275000000000000355e+00,7.364437436828020767e-01
6.325000000000001066e+00,7.186117987325897349e-01
6.375000000000000000e+00,7.022951710889516752e-01
6.425000000000000711e+00,6.759324169565711360e-01
6.474999999999999645e+00,6.491303463881247238e-01
6.525000000000000355e+00,6.310299337893748861e-01
6.575000000000001066e+00,6.272384997665407802e-01
6.625000000000000000e+00,6.320519201287588817e-01
6.675000000000000711e+00,6.426078850460048564e-01
6.724999999999999645e+00,6.474268550853073956e-01
6.775000000000000355e+00,6.561490707471605566e-01
6.825000000000001066e+00,6.547321789884005261e-01
6.875000000000000000e+00,6.621911652153114058e-01
6.925000000000000711e+00,6.706700245253023329e-01
6.974999999999999645e+00,6.723579950764558832e-01
7.025000000000000355e+00,6.720851721175823412e-01
7.075000000000001066e+00,6.765421927581007910e-01
7.125000000000000000e+00,6.807224874478390308e-01
7.175000000000000711e+00,6.972424384582263102e-01
7.224999999999999645e+00,7.135569153981812240e-01
7.275000000000000355e+00,7.187894679638971995e-01
7.325000000000001066e+00,7.302307930860681973e-01
7.375000000000000000e+00,7.453927762629444231e-01
7.425000000000000711e+00,7.595719890734748958e-01
