Distance_r_A,g_r_NN
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00
2.475000000000000089e+00,0.000000000000000000e+00
2.525000000000000355e+00,0.000000000000000000e+00
2.575000000000000178e+00,0.000000000000000000e+00
2.625000000000000000e+00,5.707145236500047250e-03
2.675000000000000266e+00,2.276826436170317075e-02
2.725000000000000089e+00,6.128179896864687642e-02
2.775000000000000355e+00,1.130798499196959267e-01
2.825000000000000178e+00,1.949945013747402534e-01
2.875000000000000000e+00,3.058555150373843956e-01
2.925000000000000266e+00,4.872273563179034261e-01
2.975000000000000089e+00,7.299672911242645057e-01
3.025000000000000355e+00,9.141625797424354216e-01
3.075000000000000178e+00,1.191251983853036212e+00
3.125000000000000000e+00,1.462937649911097759e+00
3.175000000000000266e+00,1.764981283296741754e+00
3.225000000000000089e+00,2.025589000245081817e+00
3.275000000000000355e+00,2.155394305163531588e+00
3.325000000000000178e+00,2.342086382620285345e+00
3.375000000000000000e+00,2.396014579165687053e+00
3.425000000000000266e+00,2.359134794614726083e+00
3.475000000000000089e+00,2.232184694397048919e+00
3.525000000000000355e+00,2.156649835295796347e+00
3.575000000000000178e+00,2.147735870224670496e+00
3.625000000000000000e+00,2.721208922842255351e+00
3.675000000000000266e+00,4.358145819446865410e+00
3.725000000000000089e+00,7.376924160137994235e+00
3.775000000000000355e+00,8.786515658260736217e+00
3.825000000000000178e+00,7.271947476180942616e+00
3.875000000000000000e+00,4.579868246534667620e+00
3.925000000000000266e+00,2.995400352219681928e+00
3.975000000000000089e+00,2.530831421803589887e+00
4.025000000000000355e+00,2.421529548192806303e+00
4.075000000000000178e+00,2.349614015442854420e+00
4.125000000000000000e+00,2.203524059163712856e+00
4.175000000000000711e+00,2.203596736045485116e+00
4.224999999999999645e+00,2.093525784401363943e+00
4.275000000000000355e+00,2.033159511845792355e+00
4.325000000000000178e+00,2.015554358628390830e+00
4.375000000000000000e+00,2.053398243834223091e+00
4.425000000000000711e+00,1.981146689214519530e+00
4.474999999999999645e+00,1.930109103421070671e+00
4.525000000000000355e+00,1.978233708354000475e+00
4.575000000000000178e+00,1.903020814885093559e+00
4.625000000000000000e+00,1.843974873955011251e+00
4.675000000000000711e+00,1.766699205195518596e+00
4.724999999999999645e+00,1.714408311123228890e+00
4.775000000000000355e+00,1.689780247259389023e+00
4.825000000000001066e+00,1.724197844930030143e+00
4.875000000000000000e+00,1.704376450213949346e+00
4.925000000000000711e+00,1.680831403682581993e+00
4.974999999999999645e+00,1.695336020302131708e+00
5.025000000000000355e+00,1.654201235429076045e+00
5.075000000000001066e+00,1.662338137533130977e+00
5.125000000000000000e+00,1.636904995348540393e+00
5.175000000000000711e+00,1.591791253843396481e+00
5.224999999999999645e+00,1.576699965963458183e+00
5.275000000000000355e+00,1.608328931346691082e+00
5.325000000000001066e+00,1.625619354584309395e+00
5.375000000000000000e+00,1.540290285210364152e+00
5.425000000000000711e+00,1.542189078679778724e+00
5.474999999999999645e+00,1.547697680339284121e+00
5.525000000000000355e+00,1.517603312826980133e+00
5.575000000000001066e+00,1.471524548217263861e+00
5.625000000000000000e+00,1.425949261156991943e+00
5.675000000000000711e+00,1.447857635586695890e+00
5.724999999999999645e+00,1.442904007291058610e+00
5.775000000000000355e+00,1.424764888143960961e+00
5.825000000000001066e+00,1.432034687727163913e+00
5.875000000000000000e+00,1.454639968153851770e+00
5.925000000000000711e+00,1.469720208957358443e+00
5.974999999999999645e+00,1.522805448336640888e+00
6.025000000000000355e+00,1.494695058508548113e+00
6.075000000000001066e+00,1.476281289151966547e+00
6.125000000000000000e+00,1.548117221849671932e+00
6.175000000000000711e+00,1.546868914338409562e+00
6.224999999999999645e+00,1.546330663549015272e+00
6.275000000000000355e+00,1.549037307923248674e+00
6.325000000000001066e+00,1.540371508009673152e+00
6.375000000000000000e+00,1.514644749115284350e+00
6.425000000000000711e+00,1.528451503248087429e+00
6.474999999999999645e+00,1.546878747499240925e+00
6.525000000000000355e+00,1.511650782155541606e+00
6.575000000000001066e+00,1.444433169531500472e+00
6.625000000000000000e+00,1.479288388176773328e+00
6.675000000000000711e+00,1.430478913510450756e+00
6.724999999999999645e+00,1.410529135898086484e+00
6.775000000000000355e+00,1.417325041814600839e+00
6.825000000000001066e+00,1.365879539377916840e+00
6.875000000000000000e+00,1.328017793331288221e+00
6.925000000000000711e+00,1.303169553715697759e+00
6.974999999999999645e+00,1.282705471757711102e+00
7.025000000000000355e+00,1.269861679224223217e+00
7.075000000000001066e+00,1.288677228191790425e+00
7.125000000000000000e+00,1.322666479408697970e+00
7.175000000000000711e+00,1.321538538553029829e+00
7.224999999999999645e+00,1.339579481746840273e+00
7.275000000000000355e+00,1.385342935941478615e+00
7.325000000000001066e+00,1.398953264687782472e+00
7.375000000000000000e+00,1.458858465148112904e+00
7.425000000000000711e+00,1.470560887551079166e+00
