Distance_r_A,g_r_CC
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,1.709432125909800043e-03
1.325000000000000178e+00,9.715885296685171646e-01
1.375000000000000000e+00,1.338975696341274890e+01
1.425000000000000266e+00,1.661237054886566256e+01
1.475000000000000089e+00,7.122340029578124287e+00
1.524999999999999911e+00,7.891424497168242347e+00
1.575000000000000178e+00,3.894780688714679417e+00
1.625000000000000000e+00,4.691421740788653261e-01
1.675000000000000266e+00,1.786171285642769446e-02
1.725000000000000089e+00,3.078172918111329805e-04
1.774999999999999911e+00,4.927452941179965823e-06
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,3.281713605032132589e-06
2.225000000000000089e+00,2.728213930128107947e-04
2.275000000000000355e+00,1.449983446401931740e-02
2.325000000000000178e+00,3.214547069773759924e-01
2.375000000000000000e+00,2.475130001497692689e+00
2.425000000000000266e+00,6.214006889994432292e+00
2.475000000000000089e+00,6.302605592999435125e+00
2.525000000000000355e+00,4.278732720413910506e+00
2.575000000000000178e+00,2.237947706464180175e+00
2.625000000000000000e+00,8.227967027903646535e-01
2.675000000000000266e+00,3.250998594436764200e-01
2.725000000000000089e+00,5.716695441985003567e-01
2.775000000000000355e+00,1.230799836480753306e+00
2.825000000000000178e+00,1.389568528829451477e+00
2.875000000000000000e+00,1.036285799299066612e+00
2.925000000000000266e+00,7.826490380637660671e-01
2.975000000000000089e+00,7.179223188019303592e-01
3.025000000000000355e+00,6.645226944271147573e-01
3.075000000000000178e+00,6.042125754472008614e-01
3.125000000000000000e+00,5.567085068214087107e-01
3.175000000000000266e+00,4.902976208974343941e-01
3.225000000000000089e+00,4.050650730671929711e-01
3.275000000000000355e+00,3.417085046601792131e-01
3.325000000000000178e+00,3.227577133512500307e-01
3.375000000000000000e+00,3.484274371091018452e-01
3.425000000000000266e+00,4.000662226390087062e-01
3.475000000000000089e+00,4.749946989521296459e-01
3.525000000000000355e+00,5.723381782630028169e-01
3.575000000000000178e+00,7.140667350024709759e-01
3.625000000000000000e+00,9.581728165504004302e-01
3.675000000000000266e+00,1.398492619499358325e+00
3.725000000000000089e+00,2.148481690496613972e+00
3.775000000000000355e+00,2.786642422105142902e+00
3.825000000000000178e+00,2.459609676380213106e+00
3.875000000000000000e+00,1.759649441670467329e+00
3.925000000000000266e+00,1.442540094876052725e+00
3.975000000000000089e+00,1.331814734037388259e+00
4.025000000000000355e+00,1.281843835769795659e+00
4.075000000000000178e+00,1.290553003953871292e+00
4.125000000000000000e+00,1.345710177638532290e+00
4.175000000000000711e+00,1.455438659567527271e+00
4.224999999999999645e+00,1.689914470928151724e+00
4.275000000000000355e+00,2.030001425064224208e+00
4.325000000000000178e+00,2.173696425669417120e+00
4.375000000000000000e+00,1.982373267307104836e+00
4.425000000000000711e+00,1.728838071691093159e+00
4.474999999999999645e+00,1.584263128326490966e+00
4.525000000000000355e+00,1.524780316312830397e+00
4.575000000000000178e+00,1.488983760595024242e+00
4.625000000000000000e+00,1.464432382609265115e+00
4.675000000000000711e+00,1.439038699880051508e+00
4.724999999999999645e+00,1.433629876445802198e+00
4.775000000000000355e+00,1.475641493759716649e+00
4.825000000000001066e+00,1.585702174420159594e+00
4.875000000000000000e+00,1.732029829719342162e+00
4.925000000000000711e+00,1.829683281469709044e+00
4.974999999999999645e+00,1.805472237080271602e+00
5.025000000000000355e+00,1.715049058490368594e+00
5.075000000000001066e+00,1.676471565927803331e+00
5.125000000000000000e+00,1.692263462001508678e+00
5.175000000000000711e+00,1.696049510442498187e+00
5.224999999999999645e+00,1.626061679544850147e+00
5.275000000000000355e+00,1.521843243670071066e+00
5.325000000000001066e+00,1.442194849057885309e+00
5.375000000000000000e+00,1.392149123035770986e+00
5.425000000000000711e+00,1.354378272286935303e+00
5.474999999999999645e+00,1.318620818580432674e+00
5.525000000000000355e+00,1.287864893942014088e+00
5.575000000000001066e+00,1.265620505046724409e+00
5.625000000000000000e+00,1.267808170070201745e+00
5.675000000000000711e+00,1.294516081822279174e+00
5.724999999999999645e+00,1.322377577475925881e+00
5.775000000000000355e+00,1.310673469840428984e+00
5.825000000000001066e+00,1.245225845974399670e+00
5.875000000000000000e+00,1.183211552441589820e+00
5.925000000000000711e+00,1.161642008335806331e+00
5.974999999999999645e+00,1.165865514172878648e+00
6.025000000000000355e+00,1.182516322777880102e+00
6.075000000000001066e+00,1.203827459924145860e+00
6.125000000000000000e+00,1.247719863248240468e+00
6.175000000000000711e+00,1.302526798546789211e+00
6.224999999999999645e+00,1.313334656331713424e+00
6.275000000000000355e+00,1.275765520073416148e+00
6.325000000000001066e+00,1.235970161203670425e+00
6.375000000000000000e+00,1.238155249654673495e+00
6.425000000000000711e+00,1.291305756289330420e+00
6.474999999999999645e+00,1.377532880409088278e+00
6.525000000000000355e+00,1.454196579010288204e+00
6.575000000000001066e+00,1.473987380196490227e+00
6.625000000000000000e+00,1.429449248457847821e+00
6.675000000000000711e+00,1.356964828520022426e+00
6.724999999999999645e+00,1.290628391124843954e+00
6.775000000000000355e+00,1.237208787995817127e+00
6.825000000000001066e+00,1.197470825579546316e+00
6.875000000000000000e+00,1.174503793287582143e+00
6.925000000000000711e+00,1.164673592902954358e+00
6.974999999999999645e+00,1.168311092801076256e+00
7.025000000000000355e+00,1.185012290969880366e+00
7.075000000000001066e+00,1.213618711843867937e+00
7.125000000000000000e+00,1.245634826682501028e+00
7.175000000000000711e+00,1.271060339718092180e+00
7.224999999999999645e+00,1.292518050280613950e+00
7.275000000000000355e+00,1.320153088572345368e+00
7.325000000000001066e+00,1.354601374237518252e+00
7.375000000000000000e+00,1.392523865152927476e+00
7.425000000000000711e+00,1.418107800509083471e+00
