Distance_r_A,g_r_CN
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,6.482343315824643515e-01
1.175000000000000266e+00,7.150241022582235040e+00
1.225000000000000089e+00,2.926360134672685298e-01
1.274999999999999911e+00,2.769471041976772773e-05
1.325000000000000178e+00,1.333486996687228022e-03
1.375000000000000000e+00,5.414571136164261222e-01
1.425000000000000266e+00,1.041911438728443784e+01
1.475000000000000089e+00,1.928616188500423689e+01
1.524999999999999911e+00,5.545839168384521400e+00
1.575000000000000178e+00,3.477556963629612197e-01
1.625000000000000000e+00,6.325347315615073400e-03
1.675000000000000266e+00,4.814030416695199110e-05
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,1.636928358076865744e-04
2.275000000000000355e+00,5.297508822280623184e-03
2.325000000000000178e+00,7.661466419642780357e-02
2.375000000000000000e+00,5.260433243581470464e-01
2.425000000000000266e+00,1.784855463482637461e+00
2.475000000000000089e+00,3.244423144072215326e+00
2.525000000000000355e+00,3.545848011989570114e+00
2.575000000000000178e+00,3.017236948473607683e+00
2.625000000000000000e+00,1.480390609122161916e+00
2.675000000000000266e+00,2.974286427458502913e-01
2.725000000000000089e+00,4.174342978751807015e-02
2.775000000000000355e+00,9.266601554734039264e-03
2.825000000000000178e+00,1.387763308265854700e-02
2.875000000000000000e+00,2.966327765993868534e-02
2.925000000000000266e+00,5.636844068822057657e-02
2.975000000000000089e+00,9.259980768026662701e-02
3.025000000000000355e+00,1.335242911385479403e-01
3.075000000000000178e+00,1.713978344227488071e-01
3.125000000000000000e+00,2.103852117840554758e-01
3.175000000000000266e+00,2.517280113905107641e-01
3.225000000000000089e+00,3.116579377349400493e-01
3.275000000000000355e+00,3.912944499018281563e-01
3.325000000000000178e+00,5.176189896821195013e-01
3.375000000000000000e+00,6.884231447644048041e-01
3.425000000000000266e+00,9.107425234968673511e-01
3.475000000000000089e+00,1.119991526679493310e+00
3.525000000000000355e+00,1.223127708446838158e+00
3.575000000000000178e+00,1.168926748388946280e+00
3.625000000000000000e+00,1.028569314531850187e+00
3.675000000000000266e+00,9.437016407230809367e-01
3.725000000000000089e+00,9.443548862349490092e-01
3.775000000000000355e+00,1.006194210444451231e+00
3.825000000000000178e+00,1.076598018477957330e+00
3.875000000000000000e+00,1.116041873928104389e+00
3.925000000000000266e+00,1.117123726274060980e+00
3.975000000000000089e+00,1.098072404479331965e+00
4.025000000000000355e+00,1.075468057221732998e+00
4.075000000000000178e+00,1.061178252510058151e+00
4.125000000000000000e+00,1.057336555409228662e+00
4.175000000000000711e+00,1.054065601043265632e+00
4.224999999999999645e+00,1.063298258400243501e+00
4.275000000000000355e+00,1.083007072274905003e+00
4.325000000000000178e+00,1.101402797005571754e+00
4.375000000000000000e+00,1.124599779731729088e+00
4.425000000000000711e+00,1.142253819585121954e+00
4.474999999999999645e+00,1.157320451754956903e+00
4.525000000000000355e+00,1.164656099120747967e+00
4.575000000000000178e+00,1.167410595650820726e+00
4.625000000000000000e+00,1.176717849122279613e+00
4.675000000000000711e+00,1.197118048572525906e+00
4.724999999999999645e+00,1.225579246544632017e+00
4.775000000000000355e+00,1.263710825289737771e+00
4.825000000000001066e+00,1.281890493762776195e+00
4.875000000000000000e+00,1.275859872919284044e+00
4.925000000000000711e+00,1.244023520673839256e+00
4.974999999999999645e+00,1.211854973587312756e+00
5.025000000000000355e+00,1.180956546132925888e+00
5.075000000000001066e+00,1.157720688660084818e+00
5.125000000000000000e+00,1.144522918592511207e+00
5.175000000000000711e+00,1.146849144562845257e+00
5.224999999999999645e+00,1.156326083469134458e+00
5.275000000000000355e+00,1.159709087746873202e+00
5.325000000000001066e+00,1.164660661102003170e+00
5.375000000000000000e+00,1.160596533647480610e+00
5.425000000000000711e+00,1.142997489249038434e+00
5.474999999999999645e+00,1.125542919295656974e+00
5.525000000000000355e+00,1.105300153577609468e+00
5.575000000000001066e+00,1.097574257401207953e+00
5.625000000000000000e+00,1.096227822436317556e+00
5.675000000000000711e+00,1.106969148576748774e+00
5.724999999999999645e+00,1.126925078809720260e+00
5.775000000000000355e+00,1.154671918105143913e+00
5.825000000000001066e+00,1.179573875482087697e+00
5.875000000000000000e+00,1.185593245694140263e+00
5.925000000000000711e+00,1.175904180543021482e+00
5.974999999999999645e+00,1.149445865330073202e+00
6.025000000000000355e+00,1.121946533916589939e+00
6.075000000000001066e+00,1.101325519902750738e+00
6.125000000000000000e+00,1.085569803954822277e+00
6.175000000000000711e+00,1.074158087460092226e+00
6.224999999999999645e+00,1.062028071685525932e+00
6.275000000000000355e+00,1.049366947175234488e+00
6.325000000000001066e+00,1.032238542176586948e+00
6.375000000000000000e+00,1.016029194439517669e+00
6.425000000000000711e+00,1.006772737298085474e+00
6.474999999999999645e+00,9.987720099877063218e-01
6.525000000000000355e+00,9.954633730988919904e-01
6.575000000000001066e+00,9.932069346976357682e-01
6.625000000000000000e+00,9.956367827250085512e-01
6.675000000000000711e+00,9.994114522797739042e-01
6.724999999999999645e+00,1.003138415943633177e+00
6.775000000000000355e+00,1.005799451054653959e+00
6.825000000000001066e+00,1.012487219365411972e+00
6.875000000000000000e+00,1.023757334809135333e+00
6.925000000000000711e+00,1.031691953080586144e+00
6.974999999999999645e+00,1.040134917460667108e+00
7.025000000000000355e+00,1.049786529060396267e+00
7.075000000000001066e+00,1.061582554872064765e+00
7.125000000000000000e+00,1.072539942650123423e+00
7.175000000000000711e+00,1.081510460822270758e+00
7.224999999999999645e+00,1.091767745533732015e+00
7.275000000000000355e+00,1.095737473718185084e+00
7.325000000000001066e+00,1.095163610988247216e+00
7.375000000000000000e+00,1.093546008192174179e+00
7.425000000000000711e+00,1.087622773787042307e+00
