Distance_r_A,g_r_NN
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00
2.475000000000000089e+00,8.525596621784143627e-05
2.525000000000000355e+00,9.829550729156715308e-04
2.575000000000000178e+00,7.955034990574741741e-03
2.625000000000000000e+00,4.062387633079095339e-02
2.675000000000000266e+00,1.430486244044095745e-01
2.725000000000000089e+00,3.798536914561607691e-01
2.775000000000000355e+00,8.172148677102358816e-01
2.825000000000000178e+00,1.471335994257617630e+00
2.875000000000000000e+00,2.277237734055511886e+00
2.925000000000000266e+00,3.073244011074137472e+00
2.975000000000000089e+00,3.684790716679382516e+00
3.025000000000000355e+00,4.077464523040202238e+00
3.075000000000000178e+00,4.186860857284027126e+00
3.125000000000000000e+00,4.053685756238435189e+00
3.175000000000000266e+00,3.788639661604241038e+00
3.225000000000000089e+00,3.450433171101587426e+00
3.275000000000000355e+00,3.087913457594293476e+00
3.325000000000000178e+00,2.707920757530300815e+00
3.375000000000000000e+00,2.362861904334772944e+00
3.425000000000000266e+00,2.092657202779823589e+00
3.475000000000000089e+00,1.860354001881070696e+00
3.525000000000000355e+00,1.685309450283328792e+00
3.575000000000000178e+00,1.593017818243825268e+00
3.625000000000000000e+00,1.628304899068798717e+00
3.675000000000000266e+00,2.019090487561157499e+00
3.725000000000000089e+00,3.039391723825977110e+00
3.775000000000000355e+00,3.984984257357869986e+00
3.825000000000000178e+00,3.716498434598833001e+00
3.875000000000000000e+00,2.576202405708499565e+00
3.925000000000000266e+00,1.684815129521800792e+00
3.975000000000000089e+00,1.351208696953458910e+00
4.025000000000000355e+00,1.275617425564600227e+00
4.075000000000000178e+00,1.253249062576028416e+00
4.125000000000000000e+00,1.260158205949968080e+00
4.175000000000000711e+00,1.264341482200867173e+00
4.224999999999999645e+00,1.279501976990411238e+00
4.275000000000000355e+00,1.301298418130181878e+00
4.325000000000000178e+00,1.336715438565041936e+00
4.375000000000000000e+00,1.390209680690906557e+00
4.425000000000000711e+00,1.422741743030337291e+00
4.474999999999999645e+00,1.466389924080457208e+00
4.525000000000000355e+00,1.522616482873502264e+00
4.575000000000000178e+00,1.568737456238755712e+00
4.625000000000000000e+00,1.602777409855516533e+00
4.675000000000000711e+00,1.638427033523728316e+00
4.724999999999999645e+00,1.687164340541676966e+00
4.775000000000000355e+00,1.703597885939706513e+00
4.825000000000001066e+00,1.739517297208732272e+00
4.875000000000000000e+00,1.759350553662826666e+00
4.925000000000000711e+00,1.784806148719979557e+00
4.974999999999999645e+00,1.773101989618601104e+00
5.025000000000000355e+00,1.775902952615773245e+00
5.075000000000001066e+00,1.789909118837914148e+00
5.125000000000000000e+00,1.796750195138242523e+00
5.175000000000000711e+00,1.808473730072460040e+00
5.224999999999999645e+00,1.822998804872178136e+00
5.275000000000000355e+00,1.837570468405661739e+00
5.325000000000001066e+00,1.841643486390091455e+00
5.375000000000000000e+00,1.844307646738363893e+00
5.425000000000000711e+00,1.850997409971646634e+00
5.474999999999999645e+00,1.856491652342686649e+00
5.525000000000000355e+00,1.878062807012333524e+00
5.575000000000001066e+00,1.873125260453075258e+00
5.625000000000000000e+00,1.880692460175840575e+00
5.675000000000000711e+00,1.889535748930634362e+00
5.724999999999999645e+00,1.893577976650284267e+00
5.775000000000000355e+00,1.879690484735087708e+00
5.825000000000001066e+00,1.877111457344195156e+00
5.875000000000000000e+00,1.869914258002228991e+00
5.925000000000000711e+00,1.864952841153876051e+00
5.974999999999999645e+00,1.830959769323309727e+00
6.025000000000000355e+00,1.816363605136516624e+00
6.075000000000001066e+00,1.754479371168579771e+00
6.125000000000000000e+00,1.721580607388831119e+00
6.175000000000000711e+00,1.694114950588640811e+00
6.224999999999999645e+00,1.648572874708436498e+00
6.275000000000000355e+00,1.607922071986250590e+00
6.325000000000001066e+00,1.555356502262763563e+00
6.375000000000000000e+00,1.513565110246011702e+00
6.425000000000000711e+00,1.485734703911581356e+00
6.474999999999999645e+00,1.446522217883766892e+00
6.525000000000000355e+00,1.433552106332297571e+00
6.575000000000001066e+00,1.398374295217837737e+00
6.625000000000000000e+00,1.393195620754587027e+00
6.675000000000000711e+00,1.362825714966498181e+00
6.724999999999999645e+00,1.343975501531698757e+00
6.775000000000000355e+00,1.334041805594282870e+00
6.825000000000001066e+00,1.299846095933859802e+00
6.875000000000000000e+00,1.279118587198632362e+00
6.925000000000000711e+00,1.259265847221841872e+00
6.974999999999999645e+00,1.254222520570334565e+00
7.025000000000000355e+00,1.249967193904128138e+00
7.075000000000001066e+00,1.249431144499269619e+00
7.125000000000000000e+00,1.267756935604281043e+00
7.175000000000000711e+00,1.263428586972686229e+00
7.224999999999999645e+00,1.268412485771621467e+00
7.275000000000000355e+00,1.279958956930322245e+00
7.325000000000001066e+00,1.288542385712440730e+00
7.375000000000000000e+00,1.305696210062294638e+00
7.425000000000000711e+00,1.310109487099298420e+00
