Distance_r_A,g_r_NN
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00
2.475000000000000089e+00,8.143522868477889962e-05
2.525000000000000355e+00,7.824200336628936870e-04
2.575000000000000178e+00,8.426093670470922656e-03
2.625000000000000000e+00,4.495683319789939292e-02
2.675000000000000266e+00,1.617346745661351615e-01
2.725000000000000089e+00,3.956808285194648445e-01
2.775000000000000355e+00,7.865511682586173725e-01
2.825000000000000178e+00,1.330077776319884553e+00
2.875000000000000000e+00,1.911146374264160119e+00
2.925000000000000266e+00,2.462774305055511981e+00
2.975000000000000089e+00,2.826851673738332682e+00
3.025000000000000355e+00,2.981452078115195636e+00
3.075000000000000178e+00,2.962148164658024552e+00
3.125000000000000000e+00,2.767385237591662772e+00
3.175000000000000266e+00,2.471290533597589878e+00
3.225000000000000089e+00,2.131460747342598605e+00
3.275000000000000355e+00,1.827956344045922554e+00
3.325000000000000178e+00,1.590472734145043310e+00
3.375000000000000000e+00,1.356958834917968426e+00
3.425000000000000266e+00,1.172534408157575259e+00
3.475000000000000089e+00,1.041626646855801974e+00
3.525000000000000355e+00,9.794067861766952987e-01
3.575000000000000178e+00,9.611404912152494706e-01
3.625000000000000000e+00,1.082024956751737932e+00
3.675000000000000266e+00,1.638658766986103910e+00
3.725000000000000089e+00,2.871652721317583978e+00
3.775000000000000355e+00,3.968680296039334365e+00
3.825000000000000178e+00,3.610941172387244436e+00
3.875000000000000000e+00,2.304442969863350843e+00
3.925000000000000266e+00,1.345700747372876371e+00
3.975000000000000089e+00,9.978333077167362841e-01
4.025000000000000355e+00,9.505338489487643594e-01
4.075000000000000178e+00,9.549281699529752476e-01
4.125000000000000000e+00,9.818743244798213698e-01
4.175000000000000711e+00,1.035367006942202295e+00
4.224999999999999645e+00,1.080757836236634795e+00
4.275000000000000355e+00,1.128285319009962651e+00
4.325000000000000178e+00,1.182912630638912166e+00
4.375000000000000000e+00,1.243753594610639279e+00
4.425000000000000711e+00,1.284998570266811857e+00
4.474999999999999645e+00,1.328932525078398097e+00
4.525000000000000355e+00,1.369793256530307257e+00
4.575000000000000178e+00,1.413660309566678874e+00
4.625000000000000000e+00,1.422928198788371956e+00
4.675000000000000711e+00,1.427118850547762330e+00
4.724999999999999645e+00,1.433428619781336399e+00
4.775000000000000355e+00,1.447760752540087070e+00
4.825000000000001066e+00,1.438266781817966633e+00
4.875000000000000000e+00,1.427512355323452775e+00
4.925000000000000711e+00,1.439107260605987593e+00
4.974999999999999645e+00,1.417642001978966171e+00
5.025000000000000355e+00,1.415292391103266656e+00
5.075000000000001066e+00,1.409370263709327942e+00
5.125000000000000000e+00,1.420007869043500293e+00
5.175000000000000711e+00,1.422503801225146525e+00
5.224999999999999645e+00,1.428353834301789860e+00
5.275000000000000355e+00,1.441364586997085917e+00
5.325000000000001066e+00,1.442501154381518491e+00
5.375000000000000000e+00,1.446367823405785291e+00
5.425000000000000711e+00,1.434270713015219245e+00
5.474999999999999645e+00,1.447950334958587382e+00
5.525000000000000355e+00,1.460591585714326790e+00
5.575000000000001066e+00,1.471232343971087930e+00
5.625000000000000000e+00,1.481486358168332407e+00
5.675000000000000711e+00,1.481998017533597167e+00
5.724999999999999645e+00,1.495613726737770266e+00
5.775000000000000355e+00,1.496556802804934971e+00
5.825000000000001066e+00,1.497879422575022934e+00
5.875000000000000000e+00,1.502495762286216507e+00
5.925000000000000711e+00,1.517145121675971486e+00
5.974999999999999645e+00,1.518156831713181720e+00
6.025000000000000355e+00,1.512783472475264457e+00
6.075000000000001066e+00,1.501879314605037319e+00
6.125000000000000000e+00,1.503680414724771319e+00
6.175000000000000711e+00,1.495192244403997783e+00
6.224999999999999645e+00,1.482546412595231455e+00
6.275000000000000355e+00,1.460724590540193990e+00
6.325000000000001066e+00,1.438531916802087585e+00
6.375000000000000000e+00,1.420474006398570577e+00
6.425000000000000711e+00,1.404916512557475183e+00
6.474999999999999645e+00,1.387824070525450759e+00
6.525000000000000355e+00,1.369108430933564602e+00
6.575000000000001066e+00,1.358080569693117079e+00
6.625000000000000000e+00,1.332475899475862313e+00
6.675000000000000711e+00,1.304314685952636443e+00
6.724999999999999645e+00,1.268292251059265574e+00
6.775000000000000355e+00,1.227775009410334572e+00
6.825000000000001066e+00,1.189311263278524766e+00
6.875000000000000000e+00,1.157679432388206031e+00
6.925000000000000711e+00,1.142801159353205698e+00
6.974999999999999645e+00,1.126608934402237416e+00
7.025000000000000355e+00,1.111528490229338084e+00
7.075000000000001066e+00,1.109895160266808789e+00
7.125000000000000000e+00,1.110232098814656343e+00
7.175000000000000711e+00,1.088775593328326297e+00
7.224999999999999645e+00,1.087863188193844310e+00
7.275000000000000355e+00,1.081321399641610448e+00
7.325000000000001066e+00,1.077589589486285915e+00
7.375000000000000000e+00,1.070355735273811559e+00
7.425000000000000711e+00,1.062648299107679772e+00
