Distance_r_A,g_r_NO
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,1.205963248057692849e-04
2.425000000000000266e+00,2.660514626587049715e-03
2.475000000000000089e+00,2.270932399914169994e-02
2.525000000000000355e+00,1.241913980704917458e-01
2.575000000000000178e+00,4.214927659715466124e-01
2.625000000000000000e+00,1.017797431423675292e+00
2.675000000000000266e+00,1.875079695423036652e+00
2.725000000000000089e+00,2.735474275448305015e+00
2.775000000000000355e+00,3.366510493020466566e+00
2.825000000000000178e+00,3.671253665121935850e+00
2.875000000000000000e+00,3.628364640638745087e+00
2.925000000000000266e+00,3.393669800523752667e+00
2.975000000000000089e+00,3.046139489703046266e+00
3.025000000000000355e+00,2.689918487002135095e+00
3.075000000000000178e+00,2.332190257144250989e+00
3.125000000000000000e+00,2.011120655063957763e+00
3.175000000000000266e+00,1.756128276430179769e+00
3.225000000000000089e+00,1.504610542077664759e+00
3.275000000000000355e+00,1.326403917097804364e+00
3.325000000000000178e+00,1.161293384889841462e+00
3.375000000000000000e+00,1.030543817452514999e+00
3.425000000000000266e+00,9.328572924120863696e-01
3.475000000000000089e+00,8.524653099815485691e-01
3.525000000000000355e+00,7.915827720297977654e-01
3.575000000000000178e+00,7.702607395773173327e-01
3.625000000000000000e+00,7.436973878909304281e-01
3.675000000000000266e+00,7.534912396374718879e-01
3.725000000000000089e+00,7.679119412013902801e-01
3.775000000000000355e+00,7.833380134086801450e-01
3.825000000000000178e+00,8.113463688478049773e-01
3.875000000000000000e+00,8.552574649104377480e-01
3.925000000000000266e+00,8.945183711652006098e-01
3.975000000000000089e+00,9.409308692879201352e-01
4.025000000000000355e+00,9.832428280251419572e-01
4.075000000000000178e+00,1.029106416038581884e+00
4.125000000000000000e+00,1.093938675249412684e+00
4.175000000000000711e+00,1.134314830602047852e+00
4.224999999999999645e+00,1.181630329021570613e+00
4.275000000000000355e+00,1.243965978806671258e+00
4.325000000000000178e+00,1.291428373370328231e+00
4.375000000000000000e+00,1.324289703915668914e+00
4.425000000000000711e+00,1.367451423488375450e+00
4.474999999999999645e+00,1.412627290982007233e+00
4.525000000000000355e+00,1.449852437160773055e+00
4.575000000000000178e+00,1.473324308056544796e+00
4.625000000000000000e+00,1.494366539924631754e+00
4.675000000000000711e+00,1.486289049856330591e+00
4.724999999999999645e+00,1.490709254802332184e+00
4.775000000000000355e+00,1.467410558015153521e+00
4.825000000000001066e+00,1.467762477793042697e+00
4.875000000000000000e+00,1.435204254797060486e+00
4.925000000000000711e+00,1.410684085927543796e+00
4.974999999999999645e+00,1.380423581331907235e+00
5.025000000000000355e+00,1.344670550778967355e+00
5.075000000000001066e+00,1.310923152713061812e+00
5.125000000000000000e+00,1.269476654831179552e+00
5.175000000000000711e+00,1.235170755349270344e+00
5.224999999999999645e+00,1.213425768569950769e+00
5.275000000000000355e+00,1.187060056531730634e+00
5.325000000000001066e+00,1.174108483368101696e+00
5.375000000000000000e+00,1.167211520316008944e+00
5.425000000000000711e+00,1.169682837803532216e+00
5.474999999999999645e+00,1.158219722284424602e+00
5.525000000000000355e+00,1.159524088833121080e+00
5.575000000000001066e+00,1.160956670054320572e+00
5.625000000000000000e+00,1.148299266711009903e+00
5.675000000000000711e+00,1.159266370681672598e+00
5.724999999999999645e+00,1.167321216502474224e+00
5.775000000000000355e+00,1.166541520617354832e+00
5.825000000000001066e+00,1.176412272558214234e+00
5.875000000000000000e+00,1.199102141533195276e+00
5.925000000000000711e+00,1.232914226113014600e+00
5.974999999999999645e+00,1.255504203931449014e+00
6.025000000000000355e+00,1.262383131198264286e+00
6.075000000000001066e+00,1.246305852628919464e+00
6.125000000000000000e+00,1.191064152256032793e+00
6.175000000000000711e+00,1.112911409272649088e+00
6.224999999999999645e+00,1.034788667855690347e+00
6.275000000000000355e+00,9.820330662107773501e-01
6.325000000000001066e+00,9.338023311611053368e-01
6.375000000000000000e+00,9.219736473274526833e-01
6.425000000000000711e+00,9.207305913475489767e-01
6.474999999999999645e+00,9.280961452295736214e-01
6.525000000000000355e+00,9.369900132371894452e-01
6.575000000000001066e+00,9.432333081392370033e-01
6.625000000000000000e+00,9.569235943667578903e-01
6.675000000000000711e+00,9.727863953828740362e-01
6.724999999999999645e+00,9.764166242475993407e-01
6.775000000000000355e+00,9.821385973596447050e-01
6.825000000000001066e+00,9.943939143637803291e-01
6.875000000000000000e+00,9.957848237284592230e-01
6.925000000000000711e+00,1.000904466176749663e+00
6.974999999999999645e+00,1.005432932788868694e+00
7.025000000000000355e+00,1.012047203110792770e+00
7.075000000000001066e+00,1.023532000567493494e+00
7.125000000000000000e+00,1.033838793580747373e+00
7.175000000000000711e+00,1.037747743574257919e+00
7.224999999999999645e+00,1.047685282487655911e+00
7.275000000000000355e+00,1.052002185717214156e+00
7.325000000000001066e+00,1.059685489244486689e+00
7.375000000000000000e+00,1.068108726532606356e+00
7.425000000000000711e+00,1.067461614669788172e+00
