Distance_r_A,g_r_OO
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,1.715986868747938516e-04
2.375000000000000000e+00,4.604586947129373116e-03
2.425000000000000266e+00,4.716366838040678133e-02
2.475000000000000089e+00,2.637895692809836268e-01
2.525000000000000355e+00,9.032101677853945354e-01
2.575000000000000178e+00,2.221688943009768824e+00
2.625000000000000000e+00,3.948463512179853918e+00
2.675000000000000266e+00,5.698753407079712119e+00
2.725000000000000089e+00,6.651786749515792074e+00
2.775000000000000355e+00,6.822472736707965169e+00
2.825000000000000178e+00,6.244757258786592935e+00
2.875000000000000000e+00,5.227038380458854938e+00
2.925000000000000266e+00,4.152365445352819151e+00
2.975000000000000089e+00,3.213350394155612744e+00
3.025000000000000355e+00,2.408245260933449927e+00
3.075000000000000178e+00,1.826624637224226078e+00
3.125000000000000000e+00,1.392495503817993807e+00
3.175000000000000266e+00,1.105963388751560972e+00
3.225000000000000089e+00,8.804517953443344869e-01
3.275000000000000355e+00,7.530187851224440232e-01
3.325000000000000178e+00,6.885065686615092773e-01
3.375000000000000000e+00,6.801470299752719884e-01
3.425000000000000266e+00,7.164187121097359556e-01
3.475000000000000089e+00,7.466490583211270460e-01
3.525000000000000355e+00,7.803376876505357940e-01
3.575000000000000178e+00,8.527969706423826901e-01
3.625000000000000000e+00,9.454133305090975936e-01
3.675000000000000266e+00,1.023161065588182428e+00
3.725000000000000089e+00,1.074962625462991817e+00
3.775000000000000355e+00,1.152644748631633353e+00
3.825000000000000178e+00,1.211975993412116814e+00
3.875000000000000000e+00,1.303463625500934198e+00
3.925000000000000266e+00,1.375655643490476754e+00
3.975000000000000089e+00,1.411889437872758890e+00
4.025000000000000355e+00,1.502250234613683233e+00
4.075000000000000178e+00,1.555770175711104875e+00
4.125000000000000000e+00,1.638105967988943590e+00
4.175000000000000711e+00,1.703196462912863307e+00
4.224999999999999645e+00,1.789604159388803462e+00
4.275000000000000355e+00,1.832749449668148900e+00
4.325000000000000178e+00,1.819380458503752518e+00
4.375000000000000000e+00,1.848254083185213226e+00
4.425000000000000711e+00,1.825718288860224137e+00
4.474999999999999645e+00,1.791169710285677397e+00
4.525000000000000355e+00,1.768702398102022233e+00
4.575000000000000178e+00,1.690323203698990584e+00
4.625000000000000000e+00,1.606835794395136130e+00
4.675000000000000711e+00,1.518110705573539665e+00
4.724999999999999645e+00,1.443231685507385009e+00
4.775000000000000355e+00,1.378950767934848720e+00
4.825000000000001066e+00,1.317966835648738622e+00
4.875000000000000000e+00,1.275692012786970198e+00
4.925000000000000711e+00,1.234471110849065134e+00
4.974999999999999645e+00,1.186958352109500181e+00
5.025000000000000355e+00,1.142552222582273291e+00
5.075000000000001066e+00,1.120113766107006636e+00
5.125000000000000000e+00,1.083814288777590784e+00
5.175000000000000711e+00,1.055802351934065131e+00
5.224999999999999645e+00,1.031241281230250939e+00
5.275000000000000355e+00,1.011284293923696342e+00
5.325000000000001066e+00,9.865919957064247514e-01
5.375000000000000000e+00,9.571809574766926287e-01
5.425000000000000711e+00,9.390195327050325780e-01
5.474999999999999645e+00,9.178930006243218864e-01
5.525000000000000355e+00,8.993187625371474869e-01
5.575000000000001066e+00,8.799171930319420465e-01
5.625000000000000000e+00,8.517668883147220260e-01
5.675000000000000711e+00,8.340300702086809181e-01
5.724999999999999645e+00,8.103841033345122735e-01
5.775000000000000355e+00,8.175783113607468788e-01
5.825000000000001066e+00,8.042589850899355408e-01
5.875000000000000000e+00,8.028826012323270200e-01
5.925000000000000711e+00,8.095498135394337824e-01
5.974999999999999645e+00,8.316278508475415387e-01
6.025000000000000355e+00,8.324219594291468738e-01
6.075000000000001066e+00,8.402657809138383005e-01
6.125000000000000000e+00,8.492765698527382501e-01
6.175000000000000711e+00,8.554294981448500312e-01
6.224999999999999645e+00,8.597200076038614691e-01
6.275000000000000355e+00,8.741310650529054982e-01
6.325000000000001066e+00,8.758077742175259806e-01
6.375000000000000000e+00,8.948536873392740620e-01
6.425000000000000711e+00,8.955860512202052925e-01
6.474999999999999645e+00,8.942421752073727026e-01
6.525000000000000355e+00,9.062985667498461018e-01
6.575000000000001066e+00,9.125863202660163820e-01
6.625000000000000000e+00,9.345592656708533452e-01
6.675000000000000711e+00,9.518599524884426843e-01
6.724999999999999645e+00,9.868195270833541866e-01
6.775000000000000355e+00,1.007612507359858744e+00
6.825000000000001066e+00,1.017038582147417269e+00
6.875000000000000000e+00,1.051695758883204546e+00
6.925000000000000711e+00,1.072928188898186308e+00
6.974999999999999645e+00,1.098307862081736364e+00
7.025000000000000355e+00,1.118141033686276931e+00
7.075000000000001066e+00,1.131171946813414930e+00
7.125000000000000000e+00,1.147601935719870347e+00
7.175000000000000711e+00,1.157501589532386133e+00
7.224999999999999645e+00,1.154437164799888338e+00
7.275000000000000355e+00,1.148578165604451584e+00
7.325000000000001066e+00,1.143013046633607255e+00
7.375000000000000000e+00,1.130653943868908717e+00
7.425000000000000711e+00,1.123116311970591585e+00
