N_atom_index,subtype,group_SASA_A2,N_SASA_A2,accessible_time_frac(group>5.0),crowding_6A
36,primary,5.670,0.921,0.433,24.73
37,primary,0.512,0.005,0.014,41.78
90,secondary,0.307,0.010,0.008,32.88
91,secondary,3.250,0.291,0.289,22.90
144,secondary,2.453,0.030,0.080,37.11
145,secondary,0.002,0.001,0.000,34.92
166,tertiary,0.000,0.000,0.000,36.21
167,tertiary,0.000,0.000,0.000,39.71
172,secondary,0.110,0.109,0.001,23.45
173,secondary,9.365,1.036,0.780,28.19
178,secondary,0.000,0.000,0.000,41.89
179,secondary,0.020,0.000,0.000,46.95
184,secondary,0.003,0.001,0.000,28.62
185,secondary,0.000,0.000,0.000,45.85
190,primary,15.766,1.710,0.657,27.72
191,primary,16.532,3.073,0.534,25.42
196,tertiary,0.000,0.000,0.000,25.57
197,tertiary,0.000,0.000,0.000,25.97
202,secondary,0.373,0.361,0.015,30.46
203,secondary,0.007,0.000,0.000,38.60
208,primary,1.287,0.042,0.061,32.21
209,primary,5.839,0.074,0.592,40.23
214,secondary,3.081,3.066,0.191,17.40
215,secondary,0.271,0.271,0.001,20.86
220,primary,5.247,0.404,0.376,27.56
221,primary,8.036,1.419,0.642,23.85
226,primary,0.019,0.002,0.000,49.86
227,primary,0.078,0.044,0.001,35.46
512,primary,0.042,0.005,0.002,38.33
513,primary,7.999,0.291,0.659,29.81
566,secondary,0.002,0.002,0.000,36.31
567,secondary,0.000,0.000,0.000,32.97
620,secondary,0.285,0.007,0.000,39.15
621,secondary,0.993,0.419,0.007,31.17
642,tertiary,0.000,0.000,0.000,44.38
643,tertiary,0.000,0.000,0.000,34.49
648,secondary,0.001,0.000,0.000,37.38
649,secondary,0.438,0.430,0.003,22.92
654,secondary,0.000,0.000,0.000,44.36
655,secondary,0.000,0.000,0.000,40.76
660,secondary,0.000,0.000,0.000,47.86
661,secondary,0.627,0.012,0.043,32.14
666,primary,25.472,6.764,0.986,20.52
667,primary,40.368,8.226,1.000,18.94
672,tertiary,0.000,0.000,0.000,28.69
673,tertiary,0.003,0.003,0.000,23.35
678,secondary,0.000,0.000,0.000,37.43
679,secondary,0.000,0.000,0.000,30.19
684,primary,0.000,0.000,0.000,47.40
685,primary,13.146,2.040,0.662,27.32
690,secondary,1.358,0.289,0.098,24.19
691,secondary,0.000,0.000,0.000,38.67
696,primary,0.435,0.176,0.029,33.06
697,primary,0.000,0.000,0.000,42.70
702,primary,1.206,0.025,0.070,30.15
703,primary,0.785,0.349,0.000,39.05
988,primary,14.333,4.183,0.804,21.06
989,primary,1.867,0.172,0.080,39.41
1042,secondary,0.168,0.025,0.002,34.10
1043,secondary,0.473,0.472,0.014,26.95
1096,secondary,0.263,0.020,0.000,38.68
1097,secondary,0.183,0.036,0.001,34.17
1118,tertiary,0.000,0.000,0.000,41.38
1119,tertiary,0.000,0.000,0.000,41.80
1124,secondary,0.237,0.216,0.017,30.04
1125,secondary,3.789,0.426,0.356,31.33
1130,secondary,0.000,0.000,0.000,44.88
1131,secondary,0.006,0.000,0.000,46.55
1136,secondary,0.000,0.000,0.000,29.88
1137,secondary,0.000,0.000,0.000,45.59
1142,primary,32.424,6.827,1.000,20.73
1143,primary,31.295,6.711,1.000,19.54
1148,tertiary,0.000,0.000,0.000,21.68
1149,tertiary,0.000,0.000,0.000,25.66
1154,secondary,0.012,0.000,0.000,30.90
1155,secondary,0.024,0.000,0.000,38.52
1160,primary,4.858,0.346,0.309,30.92
1161,primary,6.498,0.230,0.665,40.14
1166,secondary,3.599,3.575,0.270,18.26
1167,secondary,0.207,0.207,0.001,20.54
1172,primary,13.620,0.641,0.894,23.25
1173,primary,7.062,1.348,0.523,23.94
1178,primary,0.000,0.000,0.000,46.22
1179,primary,0.082,0.014,0.000,36.90
1464,primary,0.082,0.008,0.000,38.68
1465,primary,21.065,3.184,0.708,23.45
1518,secondary,0.000,0.000,0.000,36.15
1519,secondary,0.001,0.001,0.000,38.12
1572,secondary,0.240,0.066,0.000,38.36
1573,secondary,0.986,0.184,0.002,31.92
1594,tertiary,0.000,0.000,0.000,44.23
1595,tertiary,0.000,0.000,0.000,36.90
1600,secondary,0.000,0.000,0.000,37.93
1601,secondary,0.695,0.681,0.020,26.20
1606,secondary,0.000,0.000,0.000,43.08
1607,secondary,0.000,0.000,0.000,45.94
1612,secondary,0.000,0.000,0.000,48.17
1613,secondary,0.000,0.000,0.000,38.73
1618,primary,32.182,7.623,0.998,20.61
1619,primary,45.442,11.117,1.000,16.46
1624,tertiary,0.000,0.000,0.000,32.84
1625,tertiary,0.001,0.001,0.000,24.20
1630,secondary,0.000,0.000,0.000,40.06
1631,secondary,0.001,0.001,0.000,28.39
1636,primary,0.000,0.000,0.000,49.21
1637,primary,3.277,0.180,0.284,29.50
1642,secondary,0.005,0.005,0.000,25.41
1643,secondary,0.000,0.000,0.000,37.91
1648,primary,2.084,0.659,0.146,30.34
1649,primary,0.000,0.000,0.000,44.69
1654,primary,0.867,0.147,0.054,34.18
1655,primary,1.229,0.497,0.013,38.05
