JobID,Partition,total_frames,N_secondary_plus_1,N_secondary_minus_1,N_primary_plus_1,N_primary_minus_1,O_CO2_plus_1,O_CO2_minus_1,N_other_plus_1,N_other_minus_1,N_tertiary_plus_1,N_tertiary_minus_1
1641,part_1,200,2,0,186,200,19,0,0,0,0,0
1646,part_1,200,0,200,189,0,12,0,0,0,0,0
1649,part_1,200,0,200,115,0,90,0,0,0,0,0
1654,part_1,200,0,0,194,200,9,0,0,0,0,0
1655,part_1,200,0,0,10,200,194,0,0,0,0,0
1674,part_1,200,74,200,0,0,127,0,0,0,0,0
1683,part_1,200,0,0,92,200,118,0,0,0,0,0
1685,part_1,200,0,0,10,200,194,0,0,0,0,0
1691,part_1,200,2,0,0,200,144,0,0,0,62,0
1699,part_1,200,7,200,0,0,190,0,0,0,9,0
1701,part_1,200,195,0,4,200,3,0,0,0,0,0
1702,part_1,200,0,0,0,0,0,0,0,0,0,0
1710,part_1,200,56,0,0,200,164,0,0,0,0,0
1712,part_1,200,173,0,0,200,27,0,0,0,0,0
1714,part_1,200,199,0,1,200,0,0,0,0,0,0
1715,part_1,200,0,0,181,200,219,0,0,0,0,0
1720,part_1,200,0,0,195,200,6,0,0,0,0,0
1732,part_1,200,130,200,70,0,0,0,0,0,0,0
1733,part_1,200,0,200,178,0,25,0,0,0,0,0
1740,part_1,200,1,0,1,200,199,0,0,0,0,0
1743,part_1,200,0,0,194,200,11,0,0,0,0,0
1750,part_1,200,141,0,59,200,0,0,0,0,0,0
1751,part_1,200,0,0,189,200,14,0,0,0,0,0
1638,part_2,200,0,0,0,200,200,0,0,0,0,0
1639,part_2,200,1,200,180,0,22,0,0,0,0,0
1644,part_2,200,0,200,25,0,181,0,0,0,0,0
1645,part_2,200,64,200,12,0,131,0,0,0,0,0
1650,part_2,200,66,0,40,200,102,0,0,0,0,0
1651,part_2,200,0,0,0,200,200,0,0,0,0,0
1653,part_2,200,0,0,37,200,167,0,0,0,0,0
1660,part_2,200,0,0,80,200,121,0,0,0,0,0
1668,part_2,200,0,0,125,200,89,0,0,0,0,0
1671,part_2,200,0,0,29,200,181,0,0,0,0,0
1672,part_2,200,56,200,1,0,145,0,0,0,0,0
1678,part_2,200,89,200,93,0,20,0,0,0,0,0
1680,part_2,200,200,0,0,200,0,0,0,0,0,0
1690,part_2,200,0,0,24,200,187,0,0,0,0,0
1704,part_2,200,37,200,0,0,170,0,0,0,0,0
1706,part_2,200,194,200,0,0,13,0,0,0,0,0
1709,part_2,200,93,200,105,0,2,0,0,0,0,0
1711,part_2,200,112,0,6,200,90,0,0,0,0,0
1721,part_2,200,1,0,1,200,198,0,0,0,0,0
1731,part_2,200,0,0,176,200,30,0,0,0,0,0
1735,part_2,200,84,200,0,0,132,0,0,0,0,0
1737,part_2,200,0,200,194,0,7,0,0,0,0,0
1738,part_2,200,14,200,157,0,38,0,0,0,0,0
1739,part_2,200,22,200,17,0,163,0,0,0,0,0
1744,part_2,200,177,0,0,200,47,0,0,0,0,0
