JobID,Partition,total_frames,N_tertiary_plus_1,N_tertiary_minus_1,O_CO2_plus_1,O_CO2_minus_1,N_primary_plus_1,N_primary_minus_1,N_other_plus_1,N_other_minus_1,O_H2O_plus_1,O_H2O_minus_1,N_secondary_plus_1,N_secondary_minus_1
1830,part_1,200,0,0,56,0,141,198,0,0,0,1,0,0
1833,part_1,200,0,0,0,0,201,200,0,0,0,4,0,0
1838,part_1,200,0,0,0,0,194,0,0,0,1,4,0,200
1840,part_1,200,0,0,0,0,199,0,0,0,0,2,0,200
1842,part_1,200,0,0,0,0,119,199,0,0,0,5,81,0
1843,part_1,200,0,0,23,0,0,200,0,0,3,9,160,0
1844,part_1,200,0,0,37,0,16,186,0,0,0,2,121,0
1845,part_1,200,0,0,142,0,55,200,0,0,0,3,0,0
1847,part_1,200,3,0,22,0,2,196,0,0,0,11,169,0
1853,part_1,200,1,0,198,0,0,200,0,0,0,4,1,0
1861,part_1,200,0,0,172,0,23,0,0,0,0,2,0,200
1870,part_1,200,3,0,4,0,0,0,0,0,0,3,0,7
1872,part_1,200,0,0,3,0,199,200,0,0,0,13,0,0
1873,part_1,200,0,0,186,0,0,200,0,0,0,5,12,0
1875,part_1,200,0,0,0,0,199,200,0,0,0,1,0,0
1877,part_1,200,0,0,4,0,185,200,0,0,0,7,0,0
1883,part_1,200,0,0,86,0,0,200,0,0,0,1,91,0
1890,part_1,200,0,0,200,0,2,200,0,0,0,6,0,0
1891,part_1,200,0,0,200,0,0,0,0,0,0,3,0,200
1893,part_1,200,0,0,151,0,25,178,0,0,0,5,0,0
1860,part_1,200,0,0,176,0,23,200,0,0,0,1,0,0
1896,part_1,200,0,0,40,0,0,0,0,0,2,0,156,200
1902,part_1,200,0,0,4,0,1,200,0,0,0,3,193,0
1906,part_1,200,0,0,13,0,153,200,0,0,0,4,27,0
1907,part_1,200,0,0,14,0,0,200,0,0,0,3,167,0
1921,part_1,200,0,0,0,0,197,0,0,0,0,3,3,200
1922,part_1,200,0,0,0,0,172,0,0,0,0,3,0,174
1923,part_1,200,0,0,0,0,200,200,0,0,0,20,8,0
1926,part_1,200,0,0,1,0,196,0,0,0,0,2,0,200
1927,part_1,200,0,0,7,0,189,0,0,0,0,6,0,200
1929,part_1,200,0,0,192,0,0,0,0,0,0,2,7,200
1932,part_1,200,0,0,0,0,0,200,0,0,1,4,197,0
1933,part_1,200,0,0,2,0,197,200,0,0,0,3,0,0
1935,part_1,200,0,0,0,0,200,200,0,0,0,3,0,0
1936,part_1,200,0,0,0,0,0,200,0,0,0,0,200,0
1937,part_1,200,0,0,0,0,121,200,0,0,0,2,78,0
1942,part_1,200,0,0,200,0,0,200,0,0,0,1,0,0
1943,part_1,200,0,0,0,0,187,200,0,0,0,29,0,0
1835,part_2,200,185,0,6,0,1,0,0,0,0,5,0,200
1837,part_2,200,0,0,0,0,0,0,0,0,0,7,0,0
1841,part_2,200,0,0,0,0,171,0,0,0,0,0,29,200
1852,part_2,200,0,0,0,0,91,188,0,0,0,2,96,0
1866,part_2,200,0,0,123,0,0,0,0,0,0,7,75,200
1894,part_2,200,42,0,13,0,1,0,0,0,0,3,0,68
1863,part_2,200,0,0,172,0,27,200,0,0,0,5,0,0
1895,part_2,200,0,0,0,0,66,0,0,0,0,0,133,200
1897,part_2,200,0,0,200,0,0,0,0,0,0,5,0,200
1898,part_2,200,0,0,199,0,0,0,0,0,0,0,0,200
1900,part_2,200,0,0,6,0,192,0,0,0,0,2,0,200
1901,part_2,200,0,0,4,0,190,0,0,0,0,3,0,200
1903,part_2,200,0,0,0,0,0,200,0,0,0,1,200,0
1904,part_2,200,0,0,199,0,0,200,0,0,0,4,1,0
1905,part_2,200,0,0,0,0,0,200,0,0,0,1,199,0
1912,part_2,200,0,0,1,0,1,200,0,0,0,4,195,0
1913,part_2,200,0,0,0,0,80,200,0,0,1,41,115,0
1920,part_2,200,0,0,200,0,0,200,0,0,0,4,0,0
1934,part_2,200,0,0,0,0,185,200,0,0,0,3,15,0
